customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportCalls,Churn
0017-POHNW,Female,0,Yes,No,22,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),63.04,1408.51,1,No
0018-YHUPM,Female,0,Yes,No,60,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,55.65,3386.96,2,No
0019-ROUXZ,Male,0,No,No,31,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,71.56,2152.59,3,Yes
0020-YMIOM,Male,0,Yes,Yes,31,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),46.57,1465.15,0,No
0021-AYGIX,Female,1,Yes,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,36.3,18.0,3,No
0022-ALHXK,Male,1,No,No,44,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,3807.58,2,No
0023-SQHCC,Male,0,Yes,Yes,72,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,54.22,3893.02,2,Yes
0024-AEJGZ,Female,1,Yes,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,65.14,1251.78,1,Yes
0025-IGIHL,Female,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),26.25,90.06,0,No
0026-BAPWW,Male,0,No,No,72,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),74.89,5430.88,4,No
0027-XECLH,Female,1,Yes,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.37,220.54,0,Yes
0028-VCACE,Female,0,No,Yes,16,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),77.69,1199.29,3,No
0029-ONCAE,Male,0,Yes,No,2,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),50.73,169.25,2,No
0030-ZWNGI,Male,0,Yes,No,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.19,29.71,0,No
0031-OOZJM,Female,0,No,No,7,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),65.71,472.88,1,Yes
0032-SGQTD,Male,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.0,433.45,0,No
0033-EWGMO,Male,0,Yes,No,26,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Credit card (automatic),68.51,1906.51,0,Yes
0034-KDMGS,Male,0,Yes,No,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.57,559.91,0,No
0035-VBJMY,Male,0,Yes,Yes,28,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,36.03,1062.48,0,No
0036-UFLLT,Male,0,Yes,No,21,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),46.47,1012.97,0,No
0037-KZWYG,Male,1,No,No,51,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.87,2290.94,1,No
0038-AAYYT,Female,0,No,Yes,72,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),53.01,3762.45,1,No
0039-MICGF,Female,0,Yes,Yes,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),63.12,669.78,1,Yes
0040-HIEAS,Female,0,No,Yes,4,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.54,89.12,2,No
0041-JLXOV,Female,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,81.18,1354.66,0,No
0042-XITQQ,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,69.85,132.4,0,No
0043-ZTLGB,Male,0,No,No,68,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Electronic check,63.85,4350.73,1,No
0044-CQEQX,Male,1,No,No,8,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,37.75,393.68,0,No
0045-QQBBV,Female,1,Yes,No,25,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,58.9,1576.54,2,No
0046-WEAAS,Male,0,No,No,3,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),55.77,175.29,0,Yes
0047-BULZF,Female,0,No,No,25,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),35.2,820.9,1,No
0048-WDWKX,Male,0,Yes,Yes,1,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,33.47,48.71,3,No
0049-QFXET,Female,1,Yes,No,46,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),80.78,3659.58,1,No
0050-BFVKP,Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.96,2182.41,0,No
0051-PAIFP,Female,0,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,78.51,933.63,0,Yes
0052-CTDSZ,Male,0,No,Yes,9,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,67.39,594.89,0,Yes
0053-CSTGT,Female,0,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.9,647.86,0,No
0054-IAHGR,Male,0,No,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),29.23,925.0,1,No
0055-HAKYY,Male,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),32.86,175.95,2,No
0056-RWJCG,Female,0,Yes,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.0,959.72,4,No
0057-PZPYT,Female,0,Yes,Yes,7,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,72.35,535.13,0,Yes
0058-QBAPL,Female,0,No,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),41.62,41.58,0,No
0059-EEWII,Female,1,Yes,No,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),84.67,1936.52,0,No
0060-CSPPC,Female,1,Yes,Yes,3,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),40.13,52.25,1,No
0061-TXVXA,Female,0,Yes,No,38,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,33.84,1268.27,3,No
0062-XTKQH,Female,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.78,18.51,0,Yes
0063-DFHTC,Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),74.1,4013.14,0,No
0064-PYCYR,Male,0,No,Yes,20,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,62.77,1254.72,1,No
0065-NRBVC,Male,0,No,No,26,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,54.71,1498.51,1,No
0066-PIDAD,Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),56.1,351.58,0,Yes
0067-ANUPT,Male,0,Yes,No,5,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,76.98,395.14,1,Yes
0068-XHGCQ,Female,0,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),32.43,964.66,1,No
0069-APLSV,Male,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.99,141.16,3,No
0070-WVNFF,Male,0,Yes,Yes,15,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),48.38,680.68,0,Yes
0071-MSVHB,Female,0,No,No,20,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),61.57,1225.76,1,No
0072-UAOAE,Male,0,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,64.9,572.91,2,Yes
0073-PSDCQ,Female,0,No,No,50,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),76.63,3781.33,3,No
0074-QLNUF,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Electronic check,66.56,4775.72,4,No
0075-CIEXQ,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,78.4,1432.87,3,No
0076-NUCAT,Female,0,Yes,Yes,72,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),63.41,4668.09,0,No
0077-UWACR,Female,0,No,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.0,1279.29,0,No
0078-YJVZC,Male,0,No,No,5,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,72.35,381.53,1,No
0079-HNXRO,Male,0,No,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,48.98,287.17,1,No
0080-VWBJB,Male,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.38,392.57,0,No
0081-ZQHAI,Female,0,No,No,23,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),30.14,694.98,2,No
0082-KVPGJ,Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,202.71,2,Yes
0083-WZCRY,Female,0,Yes,No,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.0,256.57,1,No
0084-XMZGY,Female,0,Yes,No,18,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),47.08,865.33,1,No
0085-DMTAH,Female,0,No,No,37,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,64.43,2381.9,0,Yes
0086-NPNLS,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),90.38,158.06,0,No
0087-WOBBW,Male,0,Yes,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.1,859.84,2,No
0088-VSYZV,Female,0,Yes,No,72,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,79.65,5722.55,2,No
0089-ZZVQT,Female,1,No,No,46,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,41.64,1903.7,2,No
0090-JFOVK,Male,1,Yes,Yes,6,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),50.64,281.87,2,No
0091-EAHUL,Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,70.38,18.0,3,Yes
0092-LEGDF,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),71.75,1504.16,3,Yes
0093-MTOCW,Female,0,No,No,72,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),57.48,4093.83,2,No
0094-HTPMR,Female,1,No,No,54,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),87.02,4646.82,2,No
0095-JSQXS,Female,0,Yes,Yes,26,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,77.04,2034.17,2,Yes
0096-ZWZEZ,Male,0,No,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.3,21.75,2,No
0097-UWILU,Male,0,No,Yes,40,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,36.65,1542.44,2,No
0098-AZZAO,Male,0,No,No,53,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.34,3984.97,0,Yes
0099-BVPYH,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,60.38,4370.37,2,Yes
0100-MUAPG,Male,0,Yes,No,30,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),74.08,2312.42,2,No
0101-EVWCL,Female,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,409.81,1,Yes
0102-ZPSEV,Male,0,No,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),58.78,1781.68,4,No
0103-YNEOQ,Female,1,No,No,72,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.38,5280.09,6,Yes
0104-NTELP,Female,0,Yes,No,31,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,59.83,1907.97,2,No
0105-ZZPUG,Male,0,Yes,No,9,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),41.5,404.17,3,No
0106-DAEWZ,Male,0,Yes,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,Yes,Mailed check,42.01,1282.34,1,No
0107-JVEDB,Female,0,Yes,No,67,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,47.21,3056.62,0,Yes
0108-TJZSZ,Male,0,No,No,26,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.35,2319.39,0,Yes
0109-AXEMD,Female,0,No,No,22,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,86.57,1962.95,2,No
0110-PXPWB,Female,1,Yes,Yes,42,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),64.09,2646.99,2,No
0111-QTXLR,Male,0,Yes,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.0,611.17,3,No
0112-CAASK,Male,0,Yes,No,1,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),73.06,18.0,3,Yes
0113-ELCAA,Female,0,No,No,41,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,47.18,1863.69,3,Yes
0114-HJKLM,Female,0,Yes,No,16,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),38.09,552.59,0,Yes
0115-LNBSR,Female,0,No,Yes,72,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),26.23,1943.41,0,No
0116-CWQZH,Female,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,1178.91,0,No
0117-ZJZBS,Female,0,No,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.29,382.5,1,No
0118-IGDZU,Female,0,No,No,72,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,36.19,2523.82,2,No
0119-RMKXD,Male,0,No,No,11,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),71.99,716.34,0,Yes
0120-YUYDJ,Male,1,Yes,Yes,36,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,64.11,2363.0,1,No
0121-EIXCQ,Male,0,No,No,2,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),48.89,111.34,0,No
0122-CPDRQ,Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),88.34,458.23,0,Yes
0123-GXWEL,Female,0,Yes,Yes,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.0,1136.4,2,No
0124-QWMWY,Male,1,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,28.12,1994.05,2,No
0125-CIQQT,Male,0,Yes,No,24,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,78.82,1889.4,1,No
0126-PYVMS,Male,0,Yes,No,13,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,33.77,437.11,0,Yes
0127-QDLIS,Female,0,Yes,Yes,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,63.65,1211.48,3,No
0128-LIGNT,Female,0,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,22.23,1465.24,3,No
0129-SZOPU,Female,0,No,Yes,7,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,51.45,341.26,3,Yes
0130-ECLYT,Male,0,No,No,11,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,52.57,605.76,2,No
0131-UDUWP,Male,0,No,No,49,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,47.62,2394.07,4,No
0132-YGMUJ,Male,0,No,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One year,No,Credit card (automatic),30.71,2217.82,6,No
0133-ZGNZE,Female,0,No,No,3,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,33.11,170.94,4,Yes
0134-CWKKR,Male,0,Yes,No,52,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),39.37,1965.87,1,Yes
0135-OLIJZ,Male,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.19,679.63,1,No
0136-LQFGN,Female,0,Yes,No,8,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),57.22,479.87,2,No
0137-MHJIR,Female,0,No,No,45,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,70.71,3149.36,1,No
0138-ZBEEF,Male,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24.67,994.56,4,No
0139-SHPMA,Female,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,103.89,1,No
0140-VTQGY,Male,0,Yes,No,22,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,63.78,1372.49,2,No
0141-MDDFS,Female,0,Yes,No,45,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,42.03,1974.66,1,No
0142-LVGJZ,Female,0,Yes,No,6,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,42.17,201.74,2,Yes
0143-SGCMM,Female,0,Yes,No,19,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),78.76,1433.44,0,No
0144-RZTHI,Female,1,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),26.5,171.21,0,No
0145-GACMY,Female,0,Yes,No,11,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,56.7,662.71,1,No
0146-QYXAF,Female,0,No,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.0,287.1,4,Yes
0147-UFZLM,Male,0,Yes,No,22,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,32.53,637.71,2,No
0148-MOUPV,Male,0,No,No,4,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),65.05,239.79,3,No
0149-UKEDC,Male,0,Yes,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),62.76,901.95,2,Yes
0150-STYRO,Female,0,Yes,No,10,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,31.97,316.09,1,No
0151-IQNOA,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,65.78,2825.19,1,No
0152-UVVCP,Male,0,No,No,38,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,75.52,2962.75,3,No
0153-WYKLJ,Male,0,Yes,No,3,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),52.59,127.11,0,No
0154-PHFLX,Male,0,No,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.18,5445.59,4,No
0155-UHZDZ,Female,0,No,No,43,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),51.17,2237.9,2,No
0156-HZREI,Male,0,No,No,30,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,81.35,2431.52,1,No
0157-DVQIA,Male,0,No,No,20,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Two year,No,Mailed check,64.5,1333.53,2,No
0158-UTMPM,Male,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,19.02,116.63,2,No
0159-NCFRS,Male,0,No,No,72,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,56.75,4120.47,2,No
0160-EOYBJ,Female,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),70.2,61.96,3,No
0161-XRMEW,Male,0,No,No,37,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,48.22,1713.6,0,No
0162-XAVAR,Male,0,No,No,22,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,101.19,2224.63,3,Yes
0163-OQKUZ,Female,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,77.81,5706.52,2,No
0164-YVQMA,Female,0,Yes,No,15,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,62.74,947.31,2,No
0165-BICAU,Female,0,Yes,No,23,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,84.01,1938.88,1,No
0166-PWFQE,Female,0,No,No,43,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Credit card (automatic),46.08,2075.7,0,No
