Date,Product,Quantity
2025-01-25,Wireless Mouse,199
2025-01-25,Laptop Pro X1,162
2025-01-25,Monitor 27inch,81
2025-01-26,Wireless Mouse,210
2025-01-26,USB-C Hub,168
2025-01-26,Laptop Pro X1,157
2025-01-26,Monitor 27inch,91
2025-01-26,Mechanical Keyboard,161
2025-01-27,Monitor 27inch,89
2025-01-27,Laptop Pro X1,150
2025-01-27,USB-C Hub,140
2025-01-27,Mechanical Keyboard,153
2025-01-27,Wireless Mouse,214
2025-01-28,Laptop Pro X1,134
2025-01-28,Monitor 27inch,73
2025-01-28,Wireless Mouse,205
2025-01-28,Mechanical Keyboard,160
2025-01-28,USB-C Hub,131
2025-01-29,Mechanical Keyboard,152
2025-01-29,Laptop Pro X1,163
2025-01-29,Wireless Mouse,198
2025-01-29,Monitor 27inch,78
2025-01-29,USB-C Hub,145
2025-01-30,Laptop Pro X1,141
2025-01-30,Mechanical Keyboard,147
2025-01-30,USB-C Hub,146
2025-01-30,Wireless Mouse,219
2025-01-30,Monitor 27inch,77
2025-01-31,USB-C Hub,134
2025-01-31,Laptop Pro X1,136
2025-01-31,Monitor 27inch,76
2025-01-31,Wireless Mouse,199
2025-01-31,Mechanical Keyboard,154
2025-02-01,USB-C Hub,139
2025-02-01,Laptop Pro X1,144
2025-02-01,Monitor 27inch,69
2025-02-01,Wireless Mouse,180
2025-02-01,Mechanical Keyboard,155
2025-02-02,USB-C Hub,155
2025-02-02,Monitor 27inch,90
2025-02-02,Wireless Mouse,209
2025-02-02,Laptop Pro X1,148
2025-02-02,Mechanical Keyboard,144
2025-02-03,Mechanical Keyboard,127
2025-02-03,USB-C Hub,116
2025-02-03,Laptop Pro X1,143
2025-02-03,Monitor 27inch,61
2025-02-03,Wireless Mouse,195
2025-02-04,Wireless Mouse,182
2025-02-04,Laptop Pro X1,154
2025-02-04,Mechanical Keyboard,139
2025-02-04,USB-C Hub,110
2025-02-04,Monitor 27inch,60
2025-02-05,Laptop Pro X1,120
2025-02-05,USB-C Hub,122
2025-02-05,Monitor 27inch,58
2025-02-05,Wireless Mouse,188
2025-02-05,Mechanical Keyboard,136
2025-02-06,USB-C Hub,107
2025-02-06,Laptop Pro X1,137
2025-02-06,Wireless Mouse,221
2025-02-06,Mechanical Keyboard,136
2025-02-06,Monitor 27inch,61
2025-02-07,USB-C Hub,99
2025-02-07,Monitor 27inch,58
2025-02-07,Mechanical Keyboard,138
2025-02-07,Wireless Mouse,179
2025-02-07,Laptop Pro X1,125
2025-02-08,Monitor 27inch,73
2025-02-08,Mechanical Keyboard,165
2025-02-08,Laptop Pro X1,132
2025-02-08,USB-C Hub,151
2025-02-08,Wireless Mouse,194
2025-02-09,USB-C Hub,155
2025-02-09,Mechanical Keyboard,180
2025-02-09,Monitor 27inch,85
2025-02-09,Wireless Mouse,213
2025-02-09,Laptop Pro X1,150
2025-02-10,Laptop Pro X1,137
2025-02-10,USB-C Hub,124
2025-02-10,Wireless Mouse,196
2025-02-10,Mechanical Keyboard,146
2025-02-10,Monitor 27inch,87
2025-02-11,USB-C Hub,127
2025-02-11,Wireless Mouse,185
2025-02-11,Laptop Pro X1,135
2025-02-11,Monitor 27inch,56
2025-02-11,Mechanical Keyboard,146
2025-02-12,Monitor 27inch,54
2025-02-12,USB-C Hub,131
2025-02-12,Mechanical Keyboard,164
2025-02-12,Laptop Pro X1,150
2025-02-12,Wireless Mouse,176
2025-02-13,Mechanical Keyboard,140
2025-02-13,USB-C Hub,126
2025-02-13,Wireless Mouse,203
2025-02-13,Monitor 27inch,66
2025-02-13,Laptop Pro X1,147
2025-02-14,Monitor 27inch,52
2025-02-14,Wireless Mouse,201
2025-02-14,Mechanical Keyboard,147
2025-02-14,USB-C Hub,121
2025-02-14,Laptop Pro X1,132
2025-02-15,Wireless Mouse,196
2025-02-15,Laptop Pro X1,167
2025-02-15,USB-C Hub,133
2025-02-15,Mechanical Keyboard,144
2025-02-15,Monitor 27inch,86
2025-02-16,Monitor 27inch,78
2025-02-16,Laptop Pro X1,144
2025-02-16,USB-C Hub,141
2025-02-16,Wireless Mouse,222
2025-02-16,Mechanical Keyboard,160
2025-02-17,Mechanical Keyboard,150
2025-02-17,Monitor 27inch,69
2025-02-17,Wireless Mouse,194
2025-02-17,USB-C Hub,132
2025-02-17,Laptop Pro X1,146
2025-02-18,Monitor 27inch,60
2025-02-18,Laptop Pro X1,117
2025-02-18,Wireless Mouse,200
2025-02-18,USB-C Hub,127
2025-02-18,Mechanical Keyboard,160
2025-02-19,Wireless Mouse,181
2025-02-19,Mechanical Keyboard,160
2025-02-19,Laptop Pro X1,145
2025-02-19,USB-C Hub,130
2025-02-19,Monitor 27inch,59
2025-02-20,Laptop Pro X1,122
2025-02-20,Monitor 27inch,72
2025-02-20,Wireless Mouse,203
2025-02-20,Mechanical Keyboard,154
2025-02-20,USB-C Hub,122
2025-02-21,Mechanical Keyboard,160
2025-02-21,Laptop Pro X1,128
2025-02-21,Wireless Mouse,192
2025-02-21,USB-C Hub,104
2025-02-21,Monitor 27inch,41
2025-02-22,Mechanical Keyboard,169
2025-02-22,Monitor 27inch,95
2025-02-22,Laptop Pro X1,127
2025-02-22,USB-C Hub,157
2025-02-22,Wireless Mouse,216
2025-02-23,USB-C Hub,150
2025-02-23,Mechanical Keyboard,165
2025-02-23,Monitor 27inch,90
2025-02-23,Wireless Mouse,212
2025-02-23,Laptop Pro X1,161
2025-02-24,USB-C Hub,104
2025-02-24,Laptop Pro X1,115
2025-02-24,Mechanical Keyboard,132
2025-02-24,Monitor 27inch,67
2025-02-24,Wireless Mouse,186
2025-02-25,USB-C Hub,100
2025-02-25,Monitor 27inch,54
2025-02-25,Wireless Mouse,190
2025-02-25,Laptop Pro X1,121
2025-02-25,Mechanical Keyboard,153
2025-02-26,USB-C Hub,145
2025-02-26,Wireless Mouse,210
2025-02-26,Monitor 27inch,66
2025-02-26,Mechanical Keyboard,167
2025-02-26,Laptop Pro X1,147
2025-02-27,Mechanical Keyboard,140
2025-02-27,Monitor 27inch,78
2025-02-27,Wireless Mouse,207
2025-02-27,USB-C Hub,146
2025-02-27,Laptop Pro X1,140
2025-02-28,Wireless Mouse,210
2025-02-28,Mechanical Keyboard,184
2025-02-28,Monitor 27inch,65
2025-02-28,Laptop Pro X1,136
2025-02-28,USB-C Hub,148
2025-03-01,Laptop Pro X1,152
2025-03-01,Mechanical Keyboard,170
2025-03-01,Wireless Mouse,194
2025-03-01,Monitor 27inch,78
2025-03-01,USB-C Hub,164
2025-03-02,Mechanical Keyboard,168
2025-03-02,USB-C Hub,144
2025-03-02,Wireless Mouse,224
2025-03-02,Monitor 27inch,65
2025-03-02,Laptop Pro X1,142
2025-03-03,Mechanical Keyboard,149
2025-03-03,Laptop Pro X1,141
2025-03-03,Wireless Mouse,187
2025-03-03,Monitor 27inch,60
2025-03-03,USB-C Hub,134
2025-03-04,Laptop Pro X1,97
2025-03-04,USB-C Hub,108
2025-03-04,Mechanical Keyboard,146
2025-03-04,Wireless Mouse,170
2025-03-04,Monitor 27inch,72
2025-03-05,Monitor 27inch,67
2025-03-05,USB-C Hub,123
2025-03-05,Laptop Pro X1,121
2025-03-05,Wireless Mouse,196
2025-03-05,Mechanical Keyboard,149
2025-03-06,Laptop Pro X1,123
2025-03-06,Wireless Mouse,175
2025-03-06,USB-C Hub,148
2025-03-06,Mechanical Keyboard,142
2025-03-06,Monitor 27inch,60
2025-03-07,Monitor 27inch,61
2025-03-07,Wireless Mouse,217
2025-03-07,Mechanical Keyboard,159
2025-03-07,Laptop Pro X1,124
2025-03-07,USB-C Hub,134
2025-03-08,Wireless Mouse,216
2025-03-08,Mechanical Keyboard,173
2025-03-08,USB-C Hub,150
2025-03-08,Laptop Pro X1,165
2025-03-08,Monitor 27inch,83
2025-03-09,Laptop Pro X1,149
2025-03-09,Wireless Mouse,192
2025-03-09,USB-C Hub,148
2025-03-09,Monitor 27inch,81
2025-03-09,Mechanical Keyboard,174
2025-03-10,Monitor 27inch,53
2025-03-10,Laptop Pro X1,132
2025-03-10,Wireless Mouse,183
2025-03-10,USB-C Hub,111
2025-03-10,Mechanical Keyboard,146
2025-03-11,Wireless Mouse,166
2025-03-11,Monitor 27inch,59
2025-03-11,Mechanical Keyboard,167
2025-03-11,Laptop Pro X1,152
2025-03-11,USB-C Hub,142
2025-03-12,Laptop Pro X1,141
2025-03-12,Mechanical Keyboard,141
2025-03-12,Monitor 27inch,53
2025-03-12,Wireless Mouse,205
2025-03-12,USB-C Hub,124
2025-03-13,Wireless Mouse,191
2025-03-13,Mechanical Keyboard,135
2025-03-13,Monitor 27inch,56
2025-03-13,USB-C Hub,128
2025-03-13,Laptop Pro X1,134
2025-03-14,Mechanical Keyboard,133
2025-03-14,Wireless Mouse,178
2025-03-14,USB-C Hub,114
2025-03-14,Monitor 27inch,77
2025-03-14,Laptop Pro X1,126
2025-03-15,Wireless Mouse,212
2025-03-15,USB-C Hub,150
2025-03-15,Laptop Pro X1,156
2025-03-15,Mechanical Keyboard,160
2025-03-15,Monitor 27inch,82
2025-03-16,Mechanical Keyboard,156
2025-03-16,Laptop Pro X1,160
2025-03-16,Wireless Mouse,200
2025-03-16,USB-C Hub,151
2025-03-16,Monitor 27inch,85
2025-03-17,Monitor 27inch,63
2025-03-17,USB-C Hub,114
2025-03-17,Mechanical Keyboard,133
2025-03-17,Laptop Pro X1,122
2025-03-17,Wireless Mouse,200
2025-03-18,USB-C Hub,117
2025-03-18,Mechanical Keyboard,142
2025-03-18,Wireless Mouse,192
2025-03-18,Laptop Pro X1,137
2025-03-18,Monitor 27inch,78
2025-03-19,Mechanical Keyboard,152
2025-03-19,Monitor 27inch,79
2025-03-19,USB-C Hub,136
2025-03-19,Wireless Mouse,210
2025-03-19,Laptop Pro X1,132
2025-03-20,Laptop Pro X1,124
2025-03-20,Mechanical Keyboard,154
2025-03-20,Monitor 27inch,62
2025-03-20,USB-C Hub,113
2025-03-20,Wireless Mouse,177
2025-03-21,Mechanical Keyboard,142
2025-03-21,Monitor 27inch,72
2025-03-21,USB-C Hub,110
2025-03-21,Laptop Pro X1,131
2025-03-21,Wireless Mouse,189
2025-03-22,Wireless Mouse,183
2025-03-22,Laptop Pro X1,146
2025-03-22,USB-C Hub,151
2025-03-22,Mechanical Keyboard,158
2025-03-22,Monitor 27inch,116
2025-03-23,USB-C Hub,138
2025-03-23,Laptop Pro X1,148
2025-03-23,Wireless Mouse,210
2025-03-23,Monitor 27inch,76
2025-03-23,Mechanical Keyboard,147
2025-03-24,Wireless Mouse,188
2025-03-24,Monitor 27inch,66
2025-03-24,Laptop Pro X1,143
2025-03-24,USB-C Hub,116
2025-03-24,Mechanical Keyboard,131
2025-03-25,Wireless Mouse,189
2025-03-25,Monitor 27inch,64
2025-03-25,Laptop Pro X1,137
2025-03-25,USB-C Hub,127
2025-03-25,Mechanical Keyboard,148
2025-03-26,Wireless Mouse,205
2025-03-26,USB-C Hub,135
2025-03-26,Laptop Pro X1,140
2025-03-26,Monitor 27inch,68
2025-03-26,Mechanical Keyboard,162
2025-03-27,Mechanical Keyboard,171
2025-03-27,Wireless Mouse,222
2025-03-27,USB-C Hub,137
2025-03-27,Monitor 27inch,71
2025-03-27,Laptop Pro X1,153
2025-03-28,Wireless Mouse,210
2025-03-28,Mechanical Keyboard,172
2025-03-28,Monitor 27inch,77
2025-03-28,USB-C Hub,143
2025-03-28,Laptop Pro X1,155
2025-03-29,Mechanical Keyboard,169
2025-03-29,USB-C Hub,159
2025-03-29,Laptop Pro X1,193
2025-03-29,Monitor 27inch,90
2025-03-29,Wireless Mouse,245
2025-03-30,Laptop Pro X1,181
2025-03-30,USB-C Hub,145
2025-03-30,Monitor 27inch,92
2025-03-30,Mechanical Keyboard,188
2025-03-30,Wireless Mouse,240
2025-03-31,Wireless Mouse,191
2025-03-31,Laptop Pro X1,134
2025-03-31,USB-C Hub,134
2025-03-31,Mechanical Keyboard,138
2025-03-31,Monitor 27inch,72
2025-04-01,USB-C Hub,134
2025-04-01,Mechanical Keyboard,137
2025-04-01,Wireless Mouse,189
2025-04-01,Laptop Pro X1,133
2025-04-01,Monitor 27inch,74
2025-04-02,Monitor 27inch,57
2025-04-02,Wireless Mouse,197
2025-04-02,USB-C Hub,133
2025-04-02,Laptop Pro X1,148
2025-04-02,Mechanical Keyboard,142
2025-04-03,Monitor 27inch,65
2025-04-03,USB-C Hub,134
2025-04-03,Wireless Mouse,188
2025-04-03,Laptop Pro X1,128
2025-04-03,Mechanical Keyboard,146
2025-04-04,Laptop Pro X1,144
2025-04-04,Monitor 27inch,69
2025-04-04,USB-C Hub,126
2025-04-04,Mechanical Keyboard,142
2025-04-04,Wireless Mouse,175
2025-04-05,Monitor 27inch,100
2025-04-05,Laptop Pro X1,146
2025-04-05,Mechanical Keyboard,172
2025-04-05,Wireless Mouse,205
2025-04-05,USB-C Hub,139
2025-04-06,Mechanical Keyboard,160
2025-04-06,Monitor 27inch,86
2025-04-06,USB-C Hub,176
2025-04-06,Wireless Mouse,207
2025-04-06,Laptop Pro X1,134
2025-04-07,USB-C Hub,112
2025-04-07,Mechanical Keyboard,149
2025-04-07,Wireless Mouse,198
2025-04-07,Laptop Pro X1,136
2025-04-07,Monitor 27inch,85
2025-04-08,Wireless Mouse,193
2025-04-08,Laptop Pro X1,136
2025-04-08,Mechanical Keyboard,151
2025-04-08,Monitor 27inch,73
2025-04-08,USB-C Hub,115
2025-04-09,Wireless Mouse,184
2025-04-09,USB-C Hub,130
2025-04-09,Laptop Pro X1,150
2025-04-09,Monitor 27inch,70
2025-04-09,Mechanical Keyboard,135
2025-04-10,Monitor 27inch,68
2025-04-10,Mechanical Keyboard,165
2025-04-10,Laptop Pro X1,141
2025-04-10,Wireless Mouse,203
2025-04-10,USB-C Hub,139
2025-04-11,Mechanical Keyboard,151
2025-04-11,USB-C Hub,134
2025-04-11,Laptop Pro X1,118
2025-04-11,Wireless Mouse,181
2025-04-11,Monitor 27inch,63
2025-04-12,Monitor 27inch,79
2025-04-12,Wireless Mouse,215
2025-04-12,USB-C Hub,145
2025-04-12,Laptop Pro X1,156
2025-04-12,Mechanical Keyboard,159
2025-04-13,Monitor 27inch,72
2025-04-13,Mechanical Keyboard,173
2025-04-13,Wireless Mouse,219
2025-04-13,USB-C Hub,127
2025-04-13,Laptop Pro X1,135
2025-04-14,USB-C Hub,130
2025-04-14,Mechanical Keyboard,140
2025-04-14,Laptop Pro X1,148
2025-04-14,Wireless Mouse,218
2025-04-14,Monitor 27inch,60
2025-04-15,Monitor 27inch,62
2025-04-15,Laptop Pro X1,121
2025-04-15,Wireless Mouse,204
2025-04-15,USB-C Hub,125
2025-04-15,Mechanical Keyboard,130
2025-04-16,Laptop Pro X1,142
2025-04-16,Mechanical Keyboard,146
2025-04-16,Wireless Mouse,202
2025-04-16,Monitor 27inch,73
2025-04-16,USB-C Hub,119
2025-04-17,Mechanical Keyboard,143
2025-04-17,Wireless Mouse,199
2025-04-17,Laptop Pro X1,136
2025-04-17,USB-C Hub,139
2025-04-17,Monitor 27inch,54
2025-04-18,Monitor 27inch,58
2025-04-18,Wireless Mouse,186
2025-04-18,Mechanical Keyboard,122
2025-04-18,USB-C Hub,141
2025-04-18,Laptop Pro X1,145
2025-04-19,Mechanical Keyboard,172
2025-04-19,USB-C Hub,142
2025-04-19,Wireless Mouse,195
2025-04-19,Laptop Pro X1,153
2025-04-19,Monitor 27inch,82
2025-04-20,Wireless Mouse,214
2025-04-20,Monitor 27inch,88
2025-04-20,Laptop Pro X1,163
2025-04-20,Mechanical Keyboard,164
2025-04-20,USB-C Hub,161
2025-04-21,Monitor 27inch,82
2025-04-21,Laptop Pro X1,136
2025-04-21,Mechanical Keyboard,143
2025-04-21,USB-C Hub,114
2025-04-21,Wireless Mouse,184
2025-04-22,Mechanical Keyboard,158
2025-04-22,Monitor 27inch,73
2025-04-22,Laptop Pro X1,150
2025-04-22,USB-C Hub,129
2025-04-22,Wireless Mouse,178
2025-04-23,USB-C Hub,138
2025-04-23,Mechanical Keyboard,140
2025-04-23,Wireless Mouse,182
2025-04-23,Monitor 27inch,71
2025-04-23,Laptop Pro X1,137
2025-04-24,Wireless Mouse,178
2025-04-24,Monitor 27inch,63
2025-04-24,Laptop Pro X1,146
2025-04-24,Mechanical Keyboard,159
2025-04-24,USB-C Hub,128
2025-04-25,Monitor 27inch,79
2025-04-25,Laptop Pro X1,143
2025-04-25,USB-C Hub,139
2025-04-25,Wireless Mouse,203
2025-04-25,Mechanical Keyboard,137
2025-04-26,Mechanical Keyboard,179
2025-04-26,Wireless Mouse,205
2025-04-26,Monitor 27inch,88
2025-04-26,USB-C Hub,176
2025-04-26,Laptop Pro X1,171
2025-04-27,Mechanical Keyboard,186
2025-04-27,Laptop Pro X1,167
2025-04-27,Wireless Mouse,223
2025-04-27,USB-C Hub,174
2025-04-27,Monitor 27inch,104
2025-04-28,Wireless Mouse,194
2025-04-28,USB-C Hub,142
2025-04-28,Laptop Pro X1,160
2025-04-28,Mechanical Keyboard,154
2025-04-28,Monitor 27inch,86
2025-04-29,Laptop Pro X1,148
2025-04-29,Monitor 27inch,77
2025-04-29,Wireless Mouse,228
2025-04-29,Mechanical Keyboard,168
2025-04-29,USB-C Hub,129
2025-04-30,USB-C Hub,162
2025-04-30,Wireless Mouse,198
2025-04-30,Mechanical Keyboard,168
2025-04-30,Laptop Pro X1,147
2025-04-30,Monitor 27inch,84
2025-05-01,Mechanical Keyboard,159
2025-05-01,USB-C Hub,122
2025-05-01,Wireless Mouse,197
2025-05-01,Laptop Pro X1,124
2025-05-01,Monitor 27inch,63
2025-05-02,Mechanical Keyboard,148
2025-05-02,USB-C Hub,138
2025-05-02,Laptop Pro X1,144
2025-05-02,Monitor 27inch,85
2025-05-02,Wireless Mouse,194
2025-05-03,Wireless Mouse,222
2025-05-03,USB-C Hub,142
2025-05-03,Laptop Pro X1,145
2025-05-03,Mechanical Keyboard,170
2025-05-03,Monitor 27inch,79
2025-05-04,Wireless Mouse,194
2025-05-04,Monitor 27inch,92
2025-05-04,USB-C Hub,148
2025-05-04,Mechanical Keyboard,164
2025-05-04,Laptop Pro X1,184
2025-05-05,Wireless Mouse,213
2025-05-05,Laptop Pro X1,150
2025-05-05,Monitor 27inch,80
2025-05-05,Mechanical Keyboard,161
2025-05-05,USB-C Hub,125
2025-05-06,Mechanical Keyboard,157
2025-05-06,Wireless Mouse,202
2025-05-06,USB-C Hub,110
2025-05-06,Laptop Pro X1,136
2025-05-06,Monitor 27inch,65
2025-05-07,Monitor 27inch,59
2025-05-07,USB-C Hub,121
2025-05-07,Laptop Pro X1,138
2025-05-07,Mechanical Keyboard,156
2025-05-07,Wireless Mouse,196
2025-05-08,Monitor 27inch,72
2025-05-08,Laptop Pro X1,138
2025-05-08,USB-C Hub,125
2025-05-08,Mechanical Keyboard,141
2025-05-08,Wireless Mouse,211
2025-05-09,Monitor 27inch,65
2025-05-09,Mechanical Keyboard,152
2025-05-09,Wireless Mouse,204
2025-05-09,Laptop Pro X1,124
2025-05-09,USB-C Hub,129
2025-05-10,USB-C Hub,144
2025-05-10,Monitor 27inch,98
2025-05-10,Wireless Mouse,209
2025-05-10,Mechanical Keyboard,172
2025-05-10,Laptop Pro X1,155
2025-05-11,Wireless Mouse,211
2025-05-11,Laptop Pro X1,146
2025-05-11,Monitor 27inch,78
2025-05-11,USB-C Hub,165
2025-05-11,Mechanical Keyboard,165
2025-05-12,Monitor 27inch,60
2025-05-12,Laptop Pro X1,148
2025-05-12,Mechanical Keyboard,146
2025-05-12,USB-C Hub,107
2025-05-12,Wireless Mouse,192
2025-05-13,Laptop Pro X1,131
2025-05-13,Monitor 27inch,69
2025-05-13,USB-C Hub,135
2025-05-13,Mechanical Keyboard,129
2025-05-13,Wireless Mouse,197
2025-05-14,Laptop Pro X1,132
2025-05-14,Monitor 27inch,59
2025-05-14,USB-C Hub,142
2025-05-14,Mechanical Keyboard,151
2025-05-14,Wireless Mouse,196
2025-05-15,USB-C Hub,137
2025-05-15,Monitor 27inch,63
2025-05-15,Mechanical Keyboard,139
2025-05-15,Laptop Pro X1,140
2025-05-15,Wireless Mouse,197
2025-05-16,Wireless Mouse,196
2025-05-16,USB-C Hub,115
2025-05-16,Mechanical Keyboard,152
2025-05-16,Laptop Pro X1,134
2025-05-16,Monitor 27inch,60
2025-05-17,USB-C Hub,146
2025-05-17,Laptop Pro X1,165
2025-05-17,Monitor 27inch,90
2025-05-17,Wireless Mouse,229
2025-05-17,Mechanical Keyboard,172
2025-05-18,Monitor 27inch,92
2025-05-18,Laptop Pro X1,154
2025-05-18,Mechanical Keyboard,161
2025-05-18,USB-C Hub,151
2025-05-18,Wireless Mouse,216
2025-05-19,Laptop Pro X1,162
2025-05-19,Mechanical Keyboard,154
2025-05-19,USB-C Hub,126
2025-05-19,Monitor 27inch,79
2025-05-19,Wireless Mouse,200
2025-05-20,Wireless Mouse,188
2025-05-20,Laptop Pro X1,122
2025-05-20,USB-C Hub,130
2025-05-20,Monitor 27inch,57
2025-05-20,Mechanical Keyboard,145
2025-05-21,Wireless Mouse,182
2025-05-21,Laptop Pro X1,136
2025-05-21,USB-C Hub,123
2025-05-21,Monitor 27inch,72
2025-05-21,Mechanical Keyboard,157
2025-05-22,Mechanical Keyboard,147
2025-05-22,USB-C Hub,127
2025-05-22,Wireless Mouse,195
2025-05-22,Monitor 27inch,84
2025-05-22,Laptop Pro X1,122
2025-05-23,USB-C Hub,119
2025-05-23,Wireless Mouse,212
2025-05-23,Laptop Pro X1,139
2025-05-23,Monitor 27inch,56
2025-05-23,Mechanical Keyboard,165
2025-05-24,Laptop Pro X1,149
2025-05-24,Wireless Mouse,197
2025-05-24,Monitor 27inch,99
2025-05-24,USB-C Hub,147
2025-05-24,Mechanical Keyboard,158
2025-05-25,Laptop Pro X1,173
2025-05-25,Wireless Mouse,210
2025-05-25,Monitor 27inch,83
2025-05-25,USB-C Hub,144
2025-05-25,Mechanical Keyboard,168
2025-05-26,Wireless Mouse,203
2025-05-26,Monitor 27inch,81
2025-05-26,Mechanical Keyboard,166
2025-05-26,USB-C Hub,140
2025-05-26,Laptop Pro X1,134
2025-05-27,Mechanical Keyboard,161
2025-05-27,Monitor 27inch,85
2025-05-27,USB-C Hub,137
2025-05-27,Laptop Pro X1,151
2025-05-27,Wireless Mouse,207
2025-05-28,Mechanical Keyboard,159
2025-05-28,Monitor 27inch,103
2025-05-28,USB-C Hub,141
2025-05-28,Laptop Pro X1,143
2025-05-28,Wireless Mouse,204
2025-05-29,Mechanical Keyboard,150
2025-05-29,Laptop Pro X1,142
2025-05-29,Wireless Mouse,215
2025-05-29,Monitor 27inch,75
2025-05-29,USB-C Hub,139
2025-05-30,Wireless Mouse,200
2025-05-30,Laptop Pro X1,141
2025-05-30,Mechanical Keyboard,168
2025-05-30,Monitor 27inch,73
2025-05-30,USB-C Hub,124
2025-05-31,Mechanical Keyboard,184
2025-05-31,Laptop Pro X1,175
2025-05-31,Monitor 27inch,92
2025-05-31,USB-C Hub,143
2025-05-31,Wireless Mouse,242
2025-06-01,Monitor 27inch,85
2025-06-01,USB-C Hub,148
2025-06-01,Wireless Mouse,223
2025-06-01,Mechanical Keyboard,168
